Date,Price,Open,High,Low,Vol.,Change %
26/12/2018,1.258,1.247,1.2596,1.2467,,0.54%
25/12/2018,1.2513,1.2579,1.2667,1.2492,,-0.28%
24/12/2018,1.2548,1.2594,1.261,1.2515,,-0.18%
21/12/2018,1.2571,1.2503,1.2586,1.248,,0.53%
20/12/2018,1.2505,1.2542,1.2581,1.2485,,-0.30%
19/12/2018,1.2542,1.2554,1.2582,1.2523,,-0.07%
18/12/2018,1.2551,1.2536,1.2591,1.2517,,0.10%
17/12/2018,1.2538,1.2564,1.2584,1.2503,,-0.16%
14/12/2018,1.2558,1.2584,1.2608,1.2501,,-0.21%
13/12/2018,1.2584,1.255,1.2596,1.2529,,0.29%
12/12/2018,1.2547,1.2405,1.2583,1.2395,,1.14%
11/12/2018,1.2406,1.2441,1.2488,1.2393,,-0.31%
10/12/2018,1.2444,1.2609,1.2633,1.2378,,-1.30%
07/12/2018,1.2608,1.2692,1.2719,1.2594,,-0.67%
06/12/2018,1.2693,1.2701,1.2725,1.265,,-0.09%
05/12/2018,1.2704,1.2686,1.2765,1.2669,,0.12%
04/12/2018,1.2689,1.2694,1.2761,1.2647,,-0.06%
03/12/2018,1.2696,1.2755,1.2788,1.2674,,-0.38%
30/11/2018,1.2744,1.274,1.2773,1.2695,,0.02%
29/11/2018,1.2742,1.2747,1.2758,1.2678,,-0.03%
28/11/2018,1.2746,1.2733,1.2795,1.2714,,0.09%
27/11/2018,1.2735,1.2816,1.2817,1.271,,-0.63%
26/11/2018,1.2816,1.2815,1.2836,1.2767,,0.34%
23/11/2018,1.2772,1.2808,1.2821,1.2761,,-0.33%
22/11/2018,1.2814,1.2717,1.2844,1.27,,0.80%
21/11/2018,1.2712,1.2723,1.2754,1.27,,-0.10%
20/11/2018,1.2725,1.2769,1.2794,1.2713,,-0.34%
19/11/2018,1.2768,1.2826,1.2872,1.2743,,-0.54%
16/11/2018,1.2837,1.2867,1.2951,1.2812,,-0.23%
15/11/2018,1.2866,1.3067,1.31,1.2811,,-1.58%
14/11/2018,1.3072,1.3067,1.3132,1.2975,,0.06%
13/11/2018,1.3064,1.299,1.3157,1.2973,,0.57%
12/11/2018,1.299,1.3031,1.3055,1.2952,,-0.44%
09/11/2018,1.3048,1.3143,1.316,1.3035,,-0.70%
08/11/2018,1.314,1.3155,1.3172,1.3115,,-0.12%
07/11/2018,1.3156,1.3133,1.3169,1.3083,,0.18%
06/11/2018,1.3132,1.3097,1.3148,1.3082,,0.24%
05/11/2018,1.3101,1.3074,1.3111,1.3029,,0.63%
02/11/2018,1.3019,1.304,1.305,1.2967,,-0.16%
01/11/2018,1.304,1.2875,1.3056,1.2862,,1.28%
31/10/2018,1.2875,1.277,1.2894,1.2763,,0.81%
30/10/2018,1.2772,1.2819,1.2844,1.2757,,-0.35%
29/10/2018,1.2817,1.2789,1.285,1.2777,,0.16%
26/10/2018,1.2797,1.2815,1.2838,1.2786,,-0.12%
25/10/2018,1.2812,1.2856,1.2904,1.2803,,-0.33%
24/10/2018,1.2854,1.2916,1.293,1.2836,,-0.50%
23/10/2018,1.2918,1.2913,1.2984,1.2892,,0.05%
22/10/2018,1.2912,1.3023,1.304,1.291,,-0.88%
19/10/2018,1.3026,1.2961,1.3057,1.2955,,0.50%
18/10/2018,1.2961,1.3052,1.3068,1.2954,,-0.71%
17/10/2018,1.3054,1.306,1.3076,1.3002,,-0.08%
16/10/2018,1.3064,1.2979,1.3089,1.2972,,0.64%
15/10/2018,1.2981,1.303,1.3058,1.2946,,-0.49%
12/10/2018,1.3045,1.3095,1.312,1.3027,,-0.37%
11/10/2018,1.3094,1.3066,1.3109,1.3029,,0.22%
10/10/2018,1.3065,1.3037,1.3112,1.3026,,0.21%
09/10/2018,1.3037,1.2994,1.3055,1.2957,,0.33%
08/10/2018,1.2994,1.3,1.3035,1.2936,,-0.17%
05/10/2018,1.3016,1.2914,1.302,1.2903,,0.80%
04/10/2018,1.2913,1.2839,1.2933,1.2814,,0.56%
03/10/2018,1.2841,1.2771,1.2887,1.2767,,0.56%
02/10/2018,1.277,1.2832,1.2844,1.2736,,-0.48%
01/10/2018,1.2832,1.2796,1.2881,1.2773,,0.27%
28/09/2018,1.2797,1.2784,1.2804,1.2698,,0.10%
27/09/2018,1.2784,1.2725,1.2819,1.2687,,0.50%
26/09/2018,1.272,1.2729,1.2785,1.2686,,-0.02%
25/09/2018,1.2723,1.2659,1.2732,1.264,,0.50%
24/09/2018,1.266,1.2527,1.2665,1.2515,,0.98%
21/09/2018,1.2537,1.2724,1.2735,1.2504,,-1.46%
20/09/2018,1.2723,1.2715,1.2795,1.2698,,0.08%
19/09/2018,1.2713,1.2681,1.2775,1.2666,,0.24%
18/09/2018,1.2683,1.2664,1.2691,1.2606,,0.13%
17/09/2018,1.2666,1.2644,1.2672,1.2623,,0.19%
14/09/2018,1.2642,1.2654,1.268,1.2623,,-0.09%
13/09/2018,1.2653,1.2665,1.2693,1.2628,,-0.11%
12/09/2018,1.2667,1.2671,1.2708,1.2628,,-0.05%
11/09/2018,1.2673,1.2702,1.2746,1.263,,-0.23%
10/09/2018,1.2702,1.2538,1.2716,1.2512,,1.41%
07/09/2018,1.2526,1.2482,1.2579,1.2469,,0.35%
06/09/2018,1.2482,1.2544,1.256,1.2473,,-0.49%
05/09/2018,1.2543,1.2524,1.2628,1.2458,,0.12%
04/09/2018,1.2528,1.2473,1.2546,1.2467,,0.42%
03/09/2018,1.2476,1.2567,1.2567,1.2469,,-0.66%
31/08/2018,1.2559,1.2611,1.2624,1.2545,,-0.41%
30/08/2018,1.2611,1.2646,1.2669,1.2597,,-0.25%
29/08/2018,1.2643,1.2569,1.2668,1.2508,,0.55%
28/08/2018,1.2574,1.2636,1.2645,1.2557,,-0.46%
27/08/2018,1.2632,1.2629,1.2659,1.2619,,-0.06%
24/08/2018,1.2639,1.264,1.2655,1.2609,,-0.02%
23/08/2018,1.2641,1.2694,1.2702,1.2626,,-0.40%
22/08/2018,1.2692,1.2706,1.2726,1.2657,,-0.16%
21/08/2018,1.2712,1.269,1.2729,1.2654,,0.18%
20/08/2018,1.2689,1.2687,1.2716,1.2664,,-0.08%
17/08/2018,1.2699,1.2675,1.2705,1.265,,0.16%
16/08/2018,1.2679,1.2618,1.2681,1.2604,,0.50%
15/08/2018,1.2616,1.2651,1.2703,1.2591,,-0.28%
14/08/2018,1.2652,1.2684,1.2731,1.2626,,-0.25%
13/08/2018,1.2684,1.2708,1.2725,1.2658,,-0.21%
10/08/2018,1.2711,1.274,1.2775,1.2648,,-0.23%
09/08/2018,1.274,1.2796,1.2821,1.2731,,-0.43%
08/08/2018,1.2795,1.2879,1.2894,1.2791,,-0.66%
07/08/2018,1.288,1.2898,1.2917,1.2868,,-0.14%
06/08/2018,1.2898,1.2936,1.2947,1.2888,,-0.27%
03/08/2018,1.2933,1.2956,1.2973,1.2913,,-0.17%
02/08/2018,1.2955,1.3022,1.3042,1.2939,,-0.51%
01/08/2018,1.3022,1.2998,1.3034,1.2982,,0.18%
31/07/2018,1.2999,1.2982,1.3012,1.295,,0.15%
30/07/2018,1.298,1.3021,1.306,1.2972,,-0.45%
27/07/2018,1.3039,1.3033,1.3074,1.3017,,0.05%
26/07/2018,1.3033,1.3085,1.3108,1.303,,-0.37%
25/07/2018,1.3082,1.3061,1.3089,1.3031,,0.16%
24/07/2018,1.3061,1.3003,1.3075,1.2991,,0.44%
23/07/2018,1.3004,1.2912,1.3041,1.2912,,-0.25%
