Date,Price,Open,High,Low,Vol.,Change %
21/09/2018,1.3077,1.3268,1.3278,1.3054,,-1.43%
20/09/2018,1.3267,1.3144,1.3299,1.3135,,0.94%
19/09/2018,1.3144,1.315,1.3216,1.3095,,-0.04%
18/09/2018,1.3149,1.3158,1.3174,1.3118,,-0.07%
17/09/2018,1.3158,1.3069,1.3168,1.3069,,0.69%
14/09/2018,1.3068,1.3107,1.3143,1.3055,,-0.30%
13/09/2018,1.3107,1.3047,1.3123,1.3026,,0.45%
12/09/2018,1.3048,1.3033,1.3081,1.298,,0.10%
11/09/2018,1.3035,1.3027,1.3089,1.297,,0.06%
10/09/2018,1.3027,1.2935,1.3053,1.2896,,0.80%
07/09/2018,1.2924,1.2933,1.3031,1.291,,-0.06%
06/09/2018,1.2932,1.2905,1.2963,1.2895,,0.22%
05/09/2018,1.2904,1.2854,1.2984,1.2785,,0.37%
04/09/2018,1.2856,1.2867,1.2884,1.2811,,-0.12%
03/09/2018,1.2872,1.2971,1.2971,1.2854,,-0.70%
31/08/2018,1.2963,1.3014,1.3031,1.2947,,-0.36%
30/08/2018,1.301,1.3027,1.3045,1.2985,,-0.13%
29/08/2018,1.3027,1.2876,1.3034,1.2846,,1.16%
28/08/2018,1.2877,1.2893,1.2933,1.2861,,-0.12%
27/08/2018,1.2893,1.284,1.2903,1.2829,,0.37%
24/08/2018,1.2845,1.2815,1.2883,1.2799,,0.26%
23/08/2018,1.2812,1.2912,1.292,1.2804,,-0.77%
22/08/2018,1.2911,1.2905,1.2938,1.2868,,0.08%
21/08/2018,1.2901,1.2796,1.2928,1.2793,,0.80%
20/08/2018,1.2798,1.274,1.2801,1.273,,0.36%
17/08/2018,1.2752,1.2716,1.2755,1.2698,,0.26%
16/08/2018,1.2719,1.2696,1.2756,1.2687,,0.17%
15/08/2018,1.2698,1.2727,1.2742,1.2662,,-0.21%
14/08/2018,1.2725,1.2771,1.2827,1.2704,,-0.34%
13/08/2018,1.2768,1.2768,1.2793,1.2729,,-0.01%
10/08/2018,1.2769,1.2824,1.2838,1.2723,,-0.43%
09/08/2018,1.2824,1.2881,1.2913,1.282,,-0.44%
08/08/2018,1.2881,1.2938,1.2963,1.2853,,-0.45%
07/08/2018,1.2939,1.2943,1.2975,1.2925,,-0.03%
06/08/2018,1.2943,1.3012,1.3019,1.2919,,-0.50%
03/08/2018,1.3008,1.3019,1.3045,1.2975,,-0.08%
02/08/2018,1.3018,1.3124,1.3131,1.3014,,-0.82%
01/08/2018,1.3126,1.3127,1.3146,1.3095,,-0.01%
31/07/2018,1.3127,1.3134,1.3175,1.3091,,-0.05%
30/07/2018,1.3133,1.3095,1.3154,1.3093,,0.22%
27/07/2018,1.3104,1.3109,1.3133,1.3081,,-0.04%
26/07/2018,1.3109,1.3191,1.3215,1.3105,,-0.61%
25/07/2018,1.3189,1.3144,1.3202,1.3132,,0.33%
24/07/2018,1.3145,1.3101,1.3161,1.3071,,0.33%
